csvdate,nav
2021-12-02,9.5797
2021-12-03,9.505
2021-12-06,9.3717
2021-12-07,9.5498
2021-12-08,9.5651
2021-12-09,9.6909
2021-12-10,9.5819
2021-12-13,9.5361
2021-12-14,9.4562
2021-12-15,9.4088
2021-12-16,9.4045
2021-12-17,9.3858
2021-12-20,9.2021
2021-12-21,9.3569
2021-12-22,9.4259
2021-12-23,9.5099
2021-12-24,9.5197
2021-12-28,9.5881
2021-12-29,9.5405
2021-12-30,9.575
2021-12-31,9.6022
2022-01-04,9.6627
2022-01-05,9.4774
2022-01-06,9.438
2022-01-07,9.4791
2022-01-10,9.5233
2022-01-11,9.5441
2022-01-12,9.709
2022-01-13,9.6953
2022-01-14,9.6225
2022-01-17,9.5842
2022-01-18,9.4977
2022-01-19,9.4498
2022-01-20,9.5883
2022-01-21,9.4988
2022-01-24,9.3726
2022-01-25,9.2326
2022-01-26,9.2036
2022-01-27,9.0502
2022-01-28,9.0317
2022-02-07,9.3216
2022-02-08,9.3078
2022-02-09,9.4717
2022-02-10,9.502
2022-02-11,9.3929
2022-02-14,9.2033
2022-02-15,9.1743
2022-02-16,9.2939
2022-02-17,9.3404
2022-02-18,9.1765
2022-02-21,9.122
2022-02-22,8.9813
2022-02-23,8.9944
2022-02-24,8.6855
2022-02-25,8.7243
2022-02-28,8.7198
2022-03-01,8.7631
2022-03-02,8.6832
2022-03-03,8.7087
2022-03-04,8.4939
2022-03-07,8.148
2022-03-08,8.0536
2022-03-09,8.114
2022-03-10,8.2813
2022-03-11,8.185
2022-03-14,7.9678
2022-03-15,7.7855
2022-03-16,8.1948
2022-03-17,8.5523
2022-03-18,8.5922
2022-03-21,8.4855
2022-03-22,8.6371
2022-03-23,8.7436
2022-03-24,8.6682
2022-03-25,8.536
2022-03-28,8.5114
2022-03-29,8.6009
2022-03-30,8.6929
2022-03-31,8.5864
2022-04-01,8.6261
2022-04-06,8.5534
2022-04-07,8.4231
2022-04-08,8.431
2022-04-11,8.2875
2022-04-12,8.2736
2022-04-13,8.3769
2022-04-14,8.3919
2022-04-19,8.223
2022-04-20,8.2915
2022-04-21,8.2683
2022-04-22,8.25
2022-04-25,8.0831
2022-04-26,8.1461
2022-04-27,8.0524
2022-04-28,8.2183
2022-04-29,8.3845
2022-05-05,8.3264
2022-05-06,8.0721
2022-05-10,7.9672
2022-05-11,7.9602
2022-05-12,7.8689
2022-05-13,8.0675
2022-05-16,8.0811
2022-05-17,8.1858
2022-05-18,8.2803
2022-05-19,8.0522
2022-05-20,8.1925
2022-05-23,8.1028
2022-05-24,7.9375
2022-05-25,7.9792
2022-05-26,8.0563
2022-05-27,8.2145
2022-05-30,8.3689
2022-05-31,8.4782
2022-06-01,8.4195
2022-06-02,8.319
2022-06-06,8.3999
2022-06-07,8.3212
2022-06-08,8.4691
2022-06-09,8.4172
2022-06-10,8.3527
2022-06-13,8.142
2022-06-14,8.0805
2022-06-15,8.0087
2022-06-16,7.9185
2022-06-17,7.8899
2022-06-20,7.8464
2022-06-21,7.9619
2022-06-22,7.8315
2022-06-23,7.8454
2022-06-24,7.9889
2022-06-27,8.1048
