csvdate,nav
2021-11-29,139.6077
2021-11-30,139.1368
2021-12-01,139.8431
2021-12-02,140.2042
2021-12-03,140.1127
2021-12-06,139.9227
2021-12-07,140.7286
2021-12-09,141.3624
2021-12-10,141.5585
2021-12-13,141.597
2021-12-14,141.1681
2021-12-15,140.8255
2021-12-16,141.3047
2021-12-17,140.9311
2021-12-20,140.0037
2021-12-21,140.5288
2021-12-22,140.8236
2021-12-23,141.3377
2021-12-24,141.6498
2021-12-28,142.2637
2021-12-29,142.0099
2021-12-30,142.2258
2021-12-31,142.2478
2022-01-04,142.4693
2022-01-05,142.1452
2022-01-06,140.996
2022-01-07,141.1815
2022-01-10,141.2152
2022-01-11,141.2324
2022-01-12,141.7172
2022-01-13,142.0095
2022-01-14,141.2201
2022-01-17,141.0451
2022-01-18,140.7585
2022-01-19,140.7103
2022-01-20,141.4843
2022-01-21,141.2326
2022-01-24,140.5777
2022-01-25,139.6274
2022-01-26,139.5578
2022-01-27,138.6534
2022-01-28,138.3705
2022-02-07,139.6174
2022-02-08,139.4928
2022-02-09,140.5719
2022-02-10,141.1007
2022-02-11,140.9169
2022-02-14,139.6088
2022-02-15,139.5492
2022-02-16,140.2447
2022-02-17,140.5003
2022-02-18,140.2936
2022-02-21,140.1479
2022-02-22,139.3384
2022-02-23,139.3156
2022-02-25,137.2261
2022-02-28,137.4128
2022-03-01,137.9131
2022-03-02,136.9504
2022-03-03,137.4212
2022-03-04,136.4443
2022-03-07,134.6699
2022-03-08,133.6696
2022-03-09,133.6172
2022-03-10,134.712
2022-03-11,134.2266
2022-03-14,133.2361
2022-03-15,131.7935
2022-03-16,132.2986
2022-03-17,134.2222
2022-03-18,134.7262
2022-03-21,134.6288
2022-03-22,134.7826
2022-03-23,135.2387
2022-03-24,135.2949
2022-03-25,135.3073
2022-03-28,135.2051
2022-03-29,135.6916
2022-03-30,136.3486
2022-03-31,136.1946
2022-04-01,136.2603
2022-04-06,136.0855
2022-04-07,135.5998
2022-04-08,135.3041
2022-04-11,134.6466
2022-04-12,134.4803
2022-04-13,134.651
2022-04-14,134.7974
2022-04-19,134.2834
2022-04-20,134.6466
2022-04-21,134.5489
2022-04-22,133.5102
2022-04-25,132.3244
2022-04-26,132.2086
2022-04-27,131.5491
2022-04-28,132.1169
2022-04-29,132.522
2022-05-05,132.421
2022-05-06,131.0917
2022-05-10,129.7433
2022-05-11,129.8106
2022-05-12,128.6958
2022-05-13,129.4244
2022-05-16,129.6199
2022-05-17,130.3285
2022-05-18,130.5943
2022-05-19,130.0675
2022-05-20,130.6218
2022-05-23,130.7254
2022-05-24,130.4102
2022-05-25,130.6714
2022-05-26,130.7119
2022-05-27,131.4227
2022-05-30,132.3661
2022-05-31,132.2847
2022-06-01,132.4671
2022-06-02,132.2597
2022-06-06,132.5548
2022-06-07,132.0743
2022-06-08,132.2797
2022-06-09,131.6459
2022-06-10,130.7062
2022-06-13,128.9349
2022-06-14,128.0281
2022-06-15,127.9305
2022-06-16,127.7159
2022-06-17,127.0298
2022-06-20,127.0361
2022-06-21,127.5856
2022-06-22,126.8019
2022-06-23,126.8496
2022-06-24,127.2905
2022-06-27,128.0381
2022-06-28,128.3177
2022-06-29,127.7319
2022-06-30,127.2452
2022-07-04,126.9518
2022-07-05,126.5036
2022-07-06,125.8603
2022-07-07,126.3197
2022-07-08,126.6007
2022-07-11,125.6499
2022-07-12,125.2964
2022-07-13,125.4368
2022-07-14,124.7989
2022-07-15,124.4597
2022-07-18,125.147
2022-07-19,124.9716
2022-07-20,125.1549
2022-07-21,125.2499
2022-07-22,125.6885
2022-07-25,125.7723
2022-07-26,126.1904
2022-07-27,126.1402
2022-07-28,126.5975
2022-07-29,126.6786
2022-08-01,127.1219
2022-08-02,126.3086
2022-08-03,126.1348
2022-08-04,126.5247
2022-08-05,126.4658
2022-08-08,126.6788
2022-08-09,126.503
2022-08-10,126.6112
2022-08-11,127.3965
2022-08-12,127.4982
2022-08-15,127.4323
2022-08-16,127.2696
2022-08-17,127.0667
2022-08-18,126.8974
2022-08-19,126.2522
2022-08-22,125.6198
2022-08-23,125.3539
2022-08-24,125.043
2022-08-25,125.7785
2022-08-26,126.1184
2022-08-29,125.1623
2022-08-30,125.0904
2022-08-31,125.1364
2022-09-01,123.9729
2022-09-02,123.8491
2022-09-05,123.6254
2022-09-06,123.2768
2022-09-07,123.0811
2022-09-08,123.3331
2022-09-09,124.2846
2022-09-13,124.3156
2022-09-14,123.346
2022-09-15,123.2103
2022-09-16,122.5306
2022-09-19,122.2911
2022-09-20,122.5297
2022-09-21,121.6945
2022-09-22,120.8951
2022-09-23,119.8211
